"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","599","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerByEditorRole","Create player by role",""
"passed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:45 UTC 2026","837","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testGetAllPlayersContract","Get all players contract",""
"failed","Thu Mar 05 18:07:42 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","250","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerGender","Validate player gender field",""
"passed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","252","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPassword","Password validation",""
"failed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:46 UTC 2026","508","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerUniqueField","Create player with duplicate unique field",""
"passed","Thu Mar 05 18:07:46 UTC 2026","Thu Mar 05 18:07:47 UTC 2026","704","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testSupervisorCanDeleteRoles","Supervisor can delete players with admin, user roles",""
"failed","Thu Mar 05 18:07:40 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","363","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerAllowsPost","Create player endpoint must allow POST",""
"passed","Thu Mar 05 18:07:51 UTC 2026","Thu Mar 05 18:07:52 UTC 2026","460","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"failed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","271","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testDeleteNonExistingPlayer","Delete non-existing player",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:40 UTC 2026","830","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerByEditorRole","Create player by role",""
"passed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","264","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRole","Create player with role",""
"failed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","788","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"failed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","817","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"passed","Thu Mar 05 18:07:46 UTC 2026","Thu Mar 05 18:07:46 UTC 2026","485","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:40 UTC 2026","852","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPassword","Password validation",""
"failed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","246","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerGender","Validate player gender field",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:40 UTC 2026","927","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"passed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:52 UTC 2026","10961","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testSelfRoleEscalation","User cannot upgrade role for himself",""
"passed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:46 UTC 2026","740","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testSupervisorCanDeleteRoles","Supervisor can delete players with admin, user roles",""
"passed","Thu Mar 05 18:07:50 UTC 2026","Thu Mar 05 18:07:51 UTC 2026","465","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"failed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","243","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPassword","Password validation",""
"passed","Thu Mar 05 18:07:46 UTC 2026","Thu Mar 05 18:07:47 UTC 2026","476","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"passed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","293","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerAge","Create player age",""
"passed","Thu Mar 05 18:07:40 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","601","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","243","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerGender","Validate player gender field",""
"failed","Thu Mar 05 18:07:42 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","268","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerAge","Create player age",""
"failed","Thu Mar 05 18:07:55 UTC 2026","Thu Mar 05 18:08:06 UTC 2026","10461","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testGetPlayerRejectsPost","Get player endpoint must reject POST",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","258","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRole","Create player with role",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","261","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRequiredFields","Create player required fields",""
"passed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:45 UTC 2026","767","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"passed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","540","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"failed","Thu Mar 05 18:07:42 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","535","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeleteSelfPermissions","testDeleteSelfPermissions",""
"passed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","241","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerGender","Validate player gender field",""
"failed","Thu Mar 05 18:07:42 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","256","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRejectsGet","Create player endpoint must reject GET",""
"passed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:46 UTC 2026","777","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"passed","Thu Mar 05 18:07:53 UTC 2026","Thu Mar 05 18:08:04 UTC 2026","10927","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testSelfRoleEscalation","User cannot upgrade role for himself",""
"passed","Thu Mar 05 18:07:42 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","501","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerByEditorRole","Create player by role",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","240","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRequiredFields","Create player required fields",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","516","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerUniqueField","Create player with duplicate unique field",""
"passed","Thu Mar 05 18:07:40 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","662","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"failed","Thu Mar 05 18:07:42 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","249","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPassword","Password validation",""
"failed","Thu Mar 05 18:07:48 UTC 2026","Thu Mar 05 18:07:48 UTC 2026","692","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","1816","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testSelfRoleEscalation","User cannot upgrade role for himself",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","242","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRequiredFields","Create player required fields",""
"failed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","243","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testGetNonExistingPlayer","Get non-existing player",""
"passed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:45 UTC 2026","285","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testGetPlayerResponseTime","Get supervisor player response time should be less than 2 seconds",""
"failed","Thu Mar 05 18:07:50 UTC 2026","Thu Mar 05 18:07:51 UTC 2026","692","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"passed","Thu Mar 05 18:07:40 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","398","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerAge","Create player age",""
"passed","Thu Mar 05 18:07:47 UTC 2026","Thu Mar 05 18:07:48 UTC 2026","703","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"failed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","267","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPassword","Password validation",""
"passed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","288","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRole","Create player with role",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","241","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRequiredFields","Create player required fields",""
"passed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","538","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"failed","Thu Mar 05 18:07:49 UTC 2026","Thu Mar 05 18:07:50 UTC 2026","697","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testUpdatePlayerPermissions","testUpdatePlayerPermissions",""
"failed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","288","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerResponse","Create player returns valid response",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:40 UTC 2026","450","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeletePlayerPermissions","testDeletePlayerPermissions",""
"passed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:51 UTC 2026","10600","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPersistence","Created player can be retrieved with correct data",""
"passed","Thu Mar 05 18:07:43 UTC 2026","Thu Mar 05 18:07:43 UTC 2026","251","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRole","Create player with role",""
"passed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:44 UTC 2026","247","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerRequiredFields","Create player required fields",""
"passed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","320","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerGender","Validate player gender field",""
"passed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:46 UTC 2026","501","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testUpdatePlayerContract","Update player contract",""
"failed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:45 UTC 2026","259","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPassword","Password validation",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:40 UTC 2026","853","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerAge","Create player age",""
"passed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:46 UTC 2026","255","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerPassword","Password validation",""
"failed","Thu Mar 05 18:07:41 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","303","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerContract","Create player contract",""
"passed","Thu Mar 05 18:07:44 UTC 2026","Thu Mar 05 18:07:45 UTC 2026","537","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testGetPlayerByIdContract","Get player by id contract",""
"failed","Thu Mar 05 18:07:45 UTC 2026","Thu Mar 05 18:07:46 UTC 2026","473","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testGetPlayerAllowsGet","Get player endpoint must allow GET",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:40 UTC 2026","463","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeleteSelfPermissions","testDeleteSelfPermissions",""
"passed","Thu Mar 05 18:07:40 UTC 2026","Thu Mar 05 18:07:41 UTC 2026","621","Gradle suite","Gradle test","tests.player.PlayerRoleTest","tests.player.PlayerRoleTest","testDeleteSelfPermissions","testDeleteSelfPermissions",""
"passed","Thu Mar 05 18:07:39 UTC 2026","Thu Mar 05 18:07:40 UTC 2026","827","Gradle suite","Gradle test","tests.player.PlayerTest","tests.player.PlayerTest","testCreatePlayerGender","Validate player gender field",""
